image_path,articleType,group
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/2618.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/20851.jpg,Clutches,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/58177.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47530.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/54127.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/4140.jpg,Casual Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/53130.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/21510.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/21948.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47366.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/9009.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/46086.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/33445.jpg,Wallets,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/36137.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47392.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/13042.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/55657.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/34452.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/2627.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/27045.jpg,Clutches,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/5402.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/3391.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/4988.jpg,Dresses,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/14431.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/20604.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/25144.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/17086.jpg,Wallets,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/43356.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/58170.jpg,Clutches,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/14851.jpg,Wallets,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/31924.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/14409.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/29583.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/49654.jpg,Skirts,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/33825.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/42846.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/53934.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/25188.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/21528.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/59432.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/59056.jpg,Casual Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/45409.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/58184.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/25143.jpg,Clutches,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/20431.jpg,Wallets,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/17081.jpg,Wallets,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/3396.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/10096.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/20603.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/34455.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/27042.jpg,Clutches,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/52647.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/20267.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/33442.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47395.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/22702.jpg,Casual Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/13045.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/55650.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/10406.jpg,Dresses,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47361.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/48329.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/10250.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/53137.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/42879.jpg,Clutches,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47537.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/54120.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/37640.jpg,Clutches,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/4147.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/42884.jpg,Clutches,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/5854.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/17088.jpg,Wallets,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/31912.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/22539.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/8313.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/2629.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/21946.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47368.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/9007.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/6873.jpg,Dresses,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/42870.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/54129.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/53902.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/18034.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/14858.jpg,Wallets,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/57303.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/11516.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/27074.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/2616.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/46271.jpg,Dresses,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/35783.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/22734.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/34651.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/59897.jpg,Dresses,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/58179.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/46615.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/30695.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/43367.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/25175.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/10292.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/50784.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/2888.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/25181.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/21521.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/15526.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/54116.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/23878.jpg,Casual Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/12703.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/53757.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/27080.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/46285.jpg,Dresses,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/30205.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/21979.jpg,Clutches,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/45400.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/38434.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/53905.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/21519.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/53139.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/18033.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47539.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/42877.jpg,Wallets,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/35925.jpg,Clutches,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/56679.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/4149.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47961.jpg,Clutches,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/21941.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/6874.jpg,Dresses,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/48327.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/31915.jpg,Clutches,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/43509.jpg,Dresses,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/14860.jpg,Wallets,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/52649.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/25971.jpg,Dresses,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/43951.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/42883.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/3398.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/5853.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/14438.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47350.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/3505.jpg,Casual Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/45407.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/4512.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/42848.jpg,Wallets,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/54111.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47734.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/50783.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/25186.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/21526.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/33225.jpg,Dresses,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/46612.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/30692.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/25172.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/35784.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/57304.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/11511.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/22501.jpg,Casual Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/2611.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47136.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/37073.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/56878.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47304.jpg,Clutches,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/37417.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/27685.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/18058.jpg,Wallets,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/3135.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/17010.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/7595.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/13682.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/54145.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47552.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/53360.jpg,Wallets,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/39579.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/25126.jpg,Clutches,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/43334.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/27671.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/54383.jpg,Wallets,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47794.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/6681.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/14453.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/5004.jpg,Skirts,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/13212.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/2645.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/16760.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/50175.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/5460.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/52622.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/33427.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/55635.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/38652.jpg,Casual Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/48525.jpg,Dresses,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/37428.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/33088.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/9054.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/12905.jpg,Casual Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/57995.jpg,Dresses,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/38838.jpg,Dresses,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/59033.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/4579.jpg,Sports Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/48141.jpg,Wallets,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/17679.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/8172.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/49067.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/31941.jpg,Casual Shoes,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47599.jpg,Flats,Shoes
